Survived,Pclass,Sex,SibSp,Parch,Ticket,Embarked,PassengerId,Fare,Age
0,2,male,1,0,244367,S,100.0,26.0,34.0
0,3,female,0,0,349245,S,101.0,7.8958,28.0
0,3,male,0,0,349215,S,102.0,7.8958,29.69911764705882
0,3,male,0,0,7540,S,104.0,8.6542,33.0
0,3,male,2,0,3101276,S,105.0,7.925,37.0
0,3,male,0,0,349207,S,106.0,7.8958,28.0
1,3,female,0,0,343120,S,107.0,7.65,21.0
1,3,male,0,0,312991,S,108.0,7.775,29.69911764705882
0,3,male,0,0,349249,S,109.0,7.8958,38.0
1,3,female,1,0,371110,Q,110.0,24.15,29.69911764705882
0,1,male,0,0,110465,S,111.0,52.0,47.0
0,3,female,1,0,2665,C,112.0,14.4542,14.5
0,3,male,0,0,324669,S,113.0,8.05,22.0
0,3,female,1,0,4136,S,114.0,9.825,20.0
0,3,female,0,0,2627,C,115.0,14.4583,17.0
0,3,male,0,0,STON/O 2. 3101294,S,116.0,7.925,21.0
0,2,male,1,0,11668,S,118.0,21.0,29.0
0,3,male,0,0,A4. 54510,S,122.0,8.05,29.69911764705882
0,2,male,1,0,237736,C,123.0,30.0708,32.5
1,2,female,0,0,27267,S,124.0,13.0,32.5
1,3,male,1,0,2651,C,126.0,11.2417,12.0
0,3,male,0,0,370372,Q,127.0,7.75,29.69911764705882
1,3,male,0,0,C 17369,S,128.0,7.1417,24.0
1,3,female,1,1,2668,C,129.0,22.3583,29.69911764705882
0,3,male,0,0,347061,S,130.0,6.975,45.0
0,3,male,0,0,349241,C,131.0,7.8958,33.0
0,3,male,0,0,SOTON/O.Q. 3101307,S,132.0,7.05,20.0
0,3,female,1,0,A/5. 3337,S,133.0,14.5,47.0
1,2,female,1,0,228414,S,134.0,26.0,29.0
0,2,male,0,0,C.A. 29178,S,135.0,13.0,25.0
0,2,male,0,0,SC/PARIS 2133,C,136.0,15.0458,23.0
1,1,female,0,2,11752,S,137.0,26.2833,19.0
0,1,male,1,0,113803,S,138.0,53.1,37.0
0,3,male,0,0,7534,S,139.0,9.2167,16.0
0,3,female,0,2,2678,C,141.0,15.2458,29.69911764705882
1,3,female,0,0,347081,S,142.0,7.75,22.0
1,3,female,1,0,STON/O2. 3101279,S,143.0,15.85,24.0
0,3,male,0,0,365222,Q,144.0,6.75,19.0
0,2,male,0,0,231945,S,145.0,11.5,18.0
0,2,male,1,1,C.A. 33112,S,146.0,36.75,19.0
1,3,male,0,0,350043,S,147.0,7.7958,27.0
0,3,female,2,2,W./C. 6608,S,148.0,34.375,9.0
0,2,male,0,2,230080,S,149.0,26.0,36.5
0,2,male,0,0,244310,S,150.0,13.0,42.0
0,2,male,0,0,S.O.P. 1166,S,151.0,12.525,51.0
0,3,male,0,2,A/5. 851,S,154.0,14.5,40.5
0,3,male,0,0,Fa 265302,S,155.0,7.3125,29.69911764705882
0,1,male,0,1,PC 17597,C,156.0,61.3792,51.0
1,3,female,0,0,35851,Q,157.0,7.7333,16.0
0,3,male,0,0,SOTON/OQ 392090,S,158.0,8.05,30.0
0,3,male,0,0,315037,S,159.0,8.6625,29.69911764705882
0,3,male,0,1,371362,S,161.0,16.1,44.0
1,2,female,0,0,C.A. 33595,S,162.0,15.75,40.0
0,3,male,0,0,347068,S,163.0,7.775,26.0
0,3,male,0,0,315093,S,164.0,8.6625,17.0
1,3,male,0,2,363291,S,166.0,20.525,9.0
1,1,female,0,1,113505,S,167.0,55.0,29.69911764705882
0,3,female,1,4,347088,S,168.0,27.9,45.0
0,1,male,0,0,PC 17318,S,169.0,25.925,29.69911764705882
0,3,male,0,0,1601,S,170.0,56.4958,28.0
0,3,male,0,0,STON/O 2. 3101280,S,174.0,7.925,21.0
0,3,male,1,1,350404,S,176.0,7.8542,18.0
0,3,male,3,1,4133,S,177.0,25.4667,29.69911764705882
0,1,female,0,0,PC 17595,C,178.0,28.7125,50.0
0,2,male,0,0,250653,S,179.0,13.0,30.0
0,3,male,0,0,LINE,S,180.0,0.0,36.0
0,2,male,0,0,SC/PARIS 2131,C,182.0,15.05,29.69911764705882
0,3,male,4,2,347077,S,183.0,31.3875,9.0
0,1,male,0,0,113767,S,186.0,50.0,29.69911764705882
1,3,female,1,0,370365,Q,187.0,15.5,29.69911764705882
1,1,male,0,0,111428,S,188.0,26.55,45.0
0,3,male,1,1,364849,Q,189.0,15.5,40.0
0,3,male,0,0,349247,S,190.0,7.8958,36.0
1,2,female,0,0,234604,S,191.0,13.0,32.0
0,2,male,0,0,28424,S,192.0,13.0,19.0
1,3,female,1,0,350046,S,193.0,7.8542,19.0
1,1,female,0,0,PC 17610,C,195.0,27.7208,44.0
0,3,male,0,0,368703,Q,197.0,7.75,29.69911764705882
0,3,male,0,1,4579,S,198.0,8.4042,42.0
1,3,female,0,0,370370,Q,199.0,7.75,29.69911764705882
0,2,female,0,0,248747,S,200.0,13.0,24.0
0,3,male,0,0,345770,S,201.0,9.5,28.0
0,3,male,0,0,3101264,S,203.0,6.4958,34.0
0,3,male,0,0,2628,C,204.0,7.225,45.5
1,3,male,0,0,A/5 3540,S,205.0,8.05,18.0
0,3,male,1,0,3101278,S,207.0,15.85,32.0
1,3,male,0,0,2699,C,208.0,18.7875,26.0
1,3,female,0,0,367231,Q,209.0,7.75,16.0
1,1,male,0,0,112277,C,210.0,31.0,40.0
0,3,male,0,0,SOTON/O.Q. 3101311,S,211.0,7.05,24.0
1,2,female,0,0,F.C.C. 13528,S,212.0,21.0,35.0
0,3,male,0,0,A/5 21174,S,213.0,7.25,22.0
0,2,male,0,0,250646,S,214.0,13.0,30.0
0,3,male,1,0,367229,Q,215.0,7.75,29.69911764705882
1,3,female,0,0,STON/O2. 3101283,S,217.0,7.925,27.0
0,2,male,1,0,243847,S,218.0,27.0,42.0
0,2,male,0,0,W/C 14208,S,220.0,10.5,30.0
1,3,male,0,0,SOTON/OQ 392089,S,221.0,8.05,16.0
0,2,male,0,0,220367,S,222.0,13.0,27.0
0,3,male,0,0,21440,S,223.0,8.05,51.0
0,3,male,0,0,349234,S,224.0,7.8958,29.69911764705882
0,3,male,0,0,PP 4348,S,226.0,9.35,22.0
1,2,male,0,0,SW/PP 751,S,227.0,10.5,19.0
0,3,male,0,0,A/5 21173,S,228.0,7.25,20.5
0,2,male,0,0,236171,S,229.0,13.0,18.0
0,3,female,3,1,4133,S,230.0,25.4667,29.69911764705882
0,3,male,0,0,347067,S,232.0,7.775,29.0
1,3,female,4,2,347077,S,234.0,31.3875,5.0
0,2,male,0,0,C.A. 29566,S,235.0,10.5,24.0
0,3,female,0,0,W./C. 6609,S,236.0,7.55,29.69911764705882
0,2,male,1,0,26707,S,237.0,26.0,44.0
1,2,female,0,2,C.A. 31921,S,238.0,26.25,8.0
0,2,male,0,0,28665,S,239.0,10.5,19.0
0,2,male,0,0,SCO/W 1585,S,240.0,12.275,33.0
0,3,female,1,0,2665,C,241.0,14.4542,29.69911764705882
1,3,female,1,0,367230,Q,242.0,15.5,29.69911764705882
0,2,male,0,0,W./C. 14263,S,243.0,10.5,29.0
0,3,male,0,0,STON/O 2. 3101275,S,244.0,7.125,22.0
0,3,male,0,0,2694,C,245.0,7.225,30.0
0,3,female,0,0,347071,S,247.0,7.775,25.0
1,2,female,0,2,250649,S,248.0,14.5,24.0
1,1,male,1,1,11751,S,249.0,52.5542,37.0
0,3,male,0,0,362316,S,251.0,7.25,29.69911764705882
0,3,female,1,1,347054,S,252.0,10.4625,29.0
0,3,male,1,0,A/5. 3336,S,254.0,16.1,30.0
0,3,female,0,2,370129,S,255.0,20.2125,41.0
1,3,female,0,2,2650,C,256.0,15.2458,29.0
1,2,female,0,1,230433,S,260.0,26.0,50.0
0,3,male,0,0,384461,Q,261.0,7.75,29.69911764705882
0,1,male,0,0,112059,S,264.0,0.0,40.0
0,3,female,0,0,382649,Q,265.0,7.75,29.69911764705882
0,2,male,0,0,C.A. 17248,S,266.0,10.5,36.0
0,3,male,4,1,3101295,S,267.0,39.6875,16.0
1,3,male,1,0,347083,S,268.0,7.775,25.0
0,1,male,0,0,113798,S,271.0,31.0,29.69911764705882
1,3,male,0,0,LINE,S,272.0,0.0,25.0
1,2,female,0,1,250644,S,273.0,19.5,41.0
0,1,male,0,1,PC 17596,C,274.0,29.7,37.0
1,3,female,0,0,370375,Q,275.0,7.75,29.69911764705882
0,3,female,0,0,347073,S,277.0,7.75,45.0
0,2,male,0,0,239853,S,278.0,0.0,29.69911764705882
0,3,male,4,1,382652,Q,279.0,29.125,7.0
1,3,female,1,1,C.A. 2673,S,280.0,20.25,35.0
0,3,male,0,0,347464,S,282.0,7.8542,28.0
0,3,male,0,0,345778,S,283.0,9.5,16.0
1,3,male,0,0,A/5. 10482,S,284.0,8.05,19.0
0,1,male,0,0,113056,S,285.0,26.0,29.69911764705882
0,3,male,0,0,349239,C,286.0,8.6625,33.0
1,3,male,0,0,345774,S,287.0,9.5,30.0
0,3,male,0,0,349206,S,288.0,7.8958,22.0
1,2,male,0,0,237798,S,289.0,13.0,42.0
1,3,female,0,0,370373,Q,290.0,7.75,22.0
0,2,male,0,0,SC/Paris 2163,C,293.0,12.875,36.0
0,3,female,0,0,349236,S,294.0,8.85,24.0
0,3,male,0,0,349233,S,295.0,7.8958,24.0
0,1,male,0,0,PC 17612,C,296.0,27.7208,29.69911764705882
0,3,male,0,0,2693,C,297.0,7.2292,23.5
1,1,male,0,0,19988,S,299.0,30.5,29.69911764705882
1,3,female,0,0,9234,Q,301.0,7.75,29.69911764705882
1,3,male,2,0,367226,Q,302.0,23.25,29.69911764705882
0,3,male,0,0,LINE,S,303.0,0.0,19.0
1,2,female,0,0,226593,Q,304.0,12.35,29.69911764705882
0,3,male,0,0,A/5 2466,S,305.0,8.05,29.69911764705882
0,2,male,1,0,P/PP 3381,C,309.0,24.0,30.0
1,1,female,0,0,PC 17485,C,310.0,56.9292,30.0
0,2,female,1,1,250651,S,313.0,26.0,26.0
0,3,male,0,0,349243,S,314.0,7.8958,28.0
0,2,male,1,1,F.C.C. 13529,S,315.0,26.25,43.0
1,3,female,0,0,347470,S,316.0,7.8542,26.0
1,2,female,1,0,244367,S,317.0,26.0,24.0
0,3,male,0,0,A/5 21172,S,321.0,7.25,22.0
0,3,male,0,0,349219,S,322.0,7.8958,27.0
1,2,female,0,0,234818,Q,323.0,12.35,30.0
1,2,female,1,1,248738,S,324.0,29.0,22.0
1,2,female,0,0,28551,S,328.0,13.0,36.0
1,3,female,1,1,363291,S,329.0,20.525,31.0
1,1,female,0,1,111361,C,330.0,57.9792,16.0
1,3,female,2,0,367226,Q,331.0,23.25,29.69911764705882
0,1,male,0,0,113043,S,332.0,28.5,45.5
0,3,male,2,0,345764,S,334.0,18.0,16.0
0,3,male,0,0,349225,S,336.0,7.8958,29.69911764705882
1,3,male,0,0,7598,S,339.0,8.05,45.0
0,1,male,0,0,113784,S,340.0,35.5,45.0
0,2,male,0,0,248740,S,343.0,13.0,28.0
0,2,male,0,0,244361,S,344.0,13.0,25.0
0,2,male,0,0,229236,S,345.0,13.0,36.0
1,2,female,0,0,248733,S,346.0,13.0,24.0
1,2,female,0,0,31418,S,347.0,13.0,40.0
1,3,female,1,0,386525,S,348.0,16.1,29.69911764705882
0,3,male,0,0,315088,S,350.0,8.6625,42.0
0,3,male,0,0,7267,S,351.0,9.225,23.0
0,1,male,0,0,113510,S,352.0,35.0,29.69911764705882
0,3,male,1,1,2695,C,353.0,7.2292,15.0
0,3,male,1,0,349237,S,354.0,17.8,25.0
0,3,male,0,0,2647,C,355.0,7.225,29.69911764705882
0,3,male,0,0,345783,S,356.0,9.5,28.0
1,1,female,0,1,113505,S,357.0,55.0,22.0
0,2,female,0,0,237671,S,358.0,13.0,38.0
1,3,female,0,0,330931,Q,359.0,7.8792,29.69911764705882
1,3,female,0,0,330980,Q,360.0,7.8792,29.69911764705882
0,3,male,1,4,347088,S,361.0,27.9,40.0
0,2,male,1,0,SC/PARIS 2167,C,362.0,27.7208,29.0
0,3,female,0,1,2691,C,363.0,14.4542,45.0
0,3,male,0,0,SOTON/O.Q. 3101310,S,364.0,7.05,35.0
0,3,male,1,0,370365,Q,365.0,15.5,29.69911764705882
0,3,male,0,0,C 7076,S,366.0,7.25,30.0
1,3,female,0,0,2626,C,368.0,7.2292,29.69911764705882
1,3,female,0,0,14313,Q,369.0,7.75,29.69911764705882
1,1,male,1,0,11765,C,371.0,55.4417,25.0
0,3,male,1,0,3101267,S,372.0,6.4958,18.0
0,3,male,0,0,323951,S,373.0,8.05,19.0
1,3,female,0,0,C 7077,S,377.0,7.25,22.0
0,3,male,0,0,2648,C,379.0,4.0125,20.0
0,3,male,0,0,347069,S,380.0,7.775,19.0
0,3,male,0,0,STON/O 2. 3101293,S,383.0,7.925,32.0
1,1,female,1,0,113789,S,384.0,52.0,35.0
0,3,male,0,0,349227,S,385.0,7.8958,29.69911764705882
1,2,female,0,0,27849,S,388.0,13.0,36.0
0,3,male,0,0,367655,Q,389.0,7.7292,29.69911764705882
1,2,female,0,0,SC 1748,C,390.0,12.0,17.0
1,3,male,0,0,350034,S,392.0,7.7958,21.0
0,3,male,2,0,3101277,S,393.0,7.925,28.0
1,3,female,0,2,PP 9549,S,395.0,16.7,24.0
0,3,male,0,0,350052,S,396.0,7.7958,22.0
0,3,female,0,0,350407,S,397.0,7.8542,31.0
0,2,male,0,0,28403,S,398.0,26.0,46.0
0,2,male,0,0,244278,S,399.0,10.5,23.0
1,2,female,0,0,240929,S,400.0,12.65,28.0
1,3,male,0,0,STON/O 2. 3101289,S,401.0,7.925,39.0
0,3,male,0,0,341826,S,402.0,8.05,26.0
0,3,female,1,0,4137,S,403.0,9.825,21.0
0,3,male,1,0,STON/O2. 3101279,S,404.0,15.85,28.0
0,3,female,0,0,315096,S,405.0,8.6625,20.0
0,2,male,1,0,28664,S,406.0,21.0,34.0
0,3,male,0,0,347064,S,407.0,7.75,51.0
0,3,male,0,0,312992,S,409.0,7.775,21.0
0,3,female,3,1,4133,S,410.0,25.4667,29.69911764705882
0,3,male,0,0,349222,S,411.0,7.8958,29.69911764705882
0,3,male,0,0,394140,Q,412.0,6.8583,29.69911764705882
0,2,male,0,0,239853,S,414.0,0.0,29.69911764705882
1,3,male,0,0,STON/O 2. 3101269,S,415.0,7.925,44.0
0,3,female,0,0,343095,S,416.0,8.05,29.69911764705882
1,2,female,1,1,28220,S,417.0,32.5,34.0
1,2,female,0,2,250652,S,418.0,13.0,18.0
0,2,male,0,0,28228,S,419.0,13.0,30.0
0,3,female,0,2,345773,S,420.0,24.15,10.0
0,3,male,0,0,349254,C,421.0,7.8958,29.69911764705882
0,3,male,0,0,A/5. 13032,Q,422.0,7.7333,21.0
0,3,male,0,0,315082,S,423.0,7.875,29.0
0,3,female,1,1,347080,S,424.0,14.4,28.0
0,3,male,1,1,370129,S,425.0,20.2125,18.0
0,3,male,0,0,A/4. 34244,S,426.0,7.25,29.69911764705882
1,2,female,1,0,2003,S,427.0,26.0,28.0
1,2,female,0,0,250655,S,428.0,26.0,19.0
0,3,male,0,0,364851,Q,429.0,7.75,29.69911764705882
1,3,male,0,0,SOTON/O.Q. 392078,S,430.0,8.05,32.0
1,1,male,0,0,110564,S,431.0,26.55,28.0
1,3,female,1,0,376564,S,432.0,16.1,29.69911764705882
1,2,female,1,0,SC/AH 3085,S,433.0,26.0,42.0
0,3,male,0,0,STON/O 2. 3101274,S,434.0,7.125,17.0
0,1,male,1,0,13507,S,435.0,55.9,50.0
0,3,female,2,2,W./C. 6608,S,437.0,34.375,21.0
1,2,female,2,3,29106,S,438.0,18.75,24.0
0,2,male,0,0,C.A. 18723,S,440.0,10.5,31.0
1,2,female,1,1,F.C.C. 13529,S,441.0,26.25,45.0
0,3,male,0,0,345769,S,442.0,9.5,20.0
0,3,male,1,0,347076,S,443.0,7.775,25.0
1,2,female,0,0,230434,S,444.0,13.0,28.0
1,3,male,0,0,65306,S,445.0,8.1125,29.69911764705882
1,2,female,0,1,250644,S,447.0,19.5,13.0
1,1,male,0,0,113794,S,448.0,26.55,34.0
1,3,female,2,1,2666,C,449.0,19.2583,5.0
0,2,male,1,2,C.A. 34651,S,451.0,27.75,36.0
0,3,male,1,0,65303,S,452.0,19.9667,29.69911764705882
0,1,male,0,0,113051,C,453.0,27.75,30.0
0,3,male,0,0,A/5 2817,S,455.0,8.05,29.69911764705882
1,3,male,0,0,349240,C,456.0,7.8958,29.0
1,1,female,1,0,17464,S,458.0,51.8625,29.69911764705882
1,2,female,0,0,F.C.C. 13531,S,459.0,10.5,50.0
0,3,male,0,0,371060,Q,460.0,7.75,29.69911764705882
1,1,male,0,0,19952,S,461.0,26.55,48.0
0,3,male,0,0,364506,S,462.0,8.05,34.0
0,1,male,0,0,111320,S,463.0,38.5,47.0
0,2,male,0,0,234360,S,464.0,13.0,48.0
0,3,male,0,0,A/S 2816,S,465.0,8.05,29.69911764705882
0,3,male,0,0,SOTON/O.Q. 3101306,S,466.0,7.05,38.0
0,2,male,0,0,239853,S,467.0,0.0,29.69911764705882
0,3,male,0,0,36209,Q,469.0,7.725,29.69911764705882
0,3,male,0,0,323592,S,471.0,7.25,29.69911764705882
0,3,male,0,0,315089,S,472.0,8.6625,38.0
1,2,female,1,2,C.A. 34651,S,473.0,27.75,33.0
1,2,female,0,0,SC/AH Basle 541,C,474.0,13.7917,23.0
0,3,female,0,0,7553,S,475.0,9.8375,22.0
0,1,male,0,0,110465,S,476.0,52.0,29.69911764705882
0,2,male,1,0,31027,S,477.0,21.0,34.0
0,3,male,1,0,3460,S,478.0,7.0458,29.0
0,3,male,0,0,350060,S,479.0,7.5208,22.0
0,3,male,5,2,CA 2144,S,481.0,46.9,9.0
0,2,male,0,0,239854,S,482.0,0.0,29.69911764705882
0,3,male,0,0,A/5 3594,S,483.0,8.05,50.0
0,3,female,3,1,4133,S,486.0,25.4667,29.69911764705882
0,3,male,0,0,A.5. 18509,S,489.0,8.05,30.0
1,3,male,1,1,C.A. 37671,S,490.0,15.9,9.0
0,3,male,1,0,65304,S,491.0,19.9667,29.69911764705882
0,3,male,0,0,SOTON/OQ 3101317,S,492.0,7.25,21.0
0,3,male,0,0,A/4 45380,S,495.0,8.05,21.0
0,3,male,0,0,2627,C,496.0,14.4583,29.69911764705882
0,3,male,0,0,C.A. 6212,S,498.0,15.1,29.69911764705882
0,3,male,0,0,350035,S,500.0,7.7958,24.0
0,3,male,0,0,315086,S,501.0,8.6625,17.0
0,3,female,0,0,364846,Q,502.0,7.75,21.0
0,3,female,0,0,330909,Q,503.0,7.6292,29.69911764705882
0,3,female,0,0,4135,S,504.0,9.5875,37.0
1,2,female,0,2,26360,S,507.0,26.0,33.0
1,1,male,0,0,111427,S,508.0,26.55,29.69911764705882
0,3,male,0,0,C 4001,S,509.0,22.525,28.0
1,3,male,0,0,1601,S,510.0,56.4958,26.0
1,3,male,0,0,382651,Q,511.0,7.75,29.0
0,3,male,0,0,SOTON/OQ 3101316,S,512.0,8.05,29.69911764705882
1,1,male,0,0,PC 17473,S,513.0,26.2875,36.0
0,3,male,0,0,349209,S,515.0,7.4958,24.0
0,1,male,0,0,36967,S,516.0,34.0208,47.0
1,2,female,0,0,C.A. 34260,S,517.0,10.5,34.0
0,3,male,0,0,371110,Q,518.0,24.15,29.69911764705882
1,2,female,1,0,226875,S,519.0,26.0,36.0
0,3,male,0,0,349242,S,520.0,7.8958,32.0
0,3,male,0,0,349252,S,522.0,7.8958,22.0
0,3,male,0,0,2624,C,523.0,7.225,29.69911764705882
1,1,female,0,1,111361,C,524.0,57.9792,44.0
0,3,male,0,0,2700,C,525.0,7.2292,29.69911764705882
0,3,male,0,0,367232,Q,526.0,7.75,40.5
1,2,female,0,0,W./C. 14258,S,527.0,10.5,50.0
0,3,male,0,0,3101296,S,529.0,7.925,39.0
0,2,male,2,1,29104,S,530.0,11.5,23.0
0,3,male,0,0,2641,C,532.0,7.2292,29.69911764705882
0,3,male,1,1,2690,C,533.0,7.2292,17.0
1,3,female,0,2,2668,C,534.0,22.3583,29.69911764705882
0,3,female,0,0,315084,S,535.0,8.6625,30.0
1,2,female,0,2,F.C.C. 13529,S,536.0,26.25,7.0
0,1,male,0,0,113050,S,537.0,26.55,45.0
0,3,male,0,0,364498,S,539.0,14.5,29.69911764705882
1,1,female,0,2,13568,C,540.0,49.5,22.0
0,3,female,4,2,347082,S,542.0,31.275,9.0
0,3,female,4,2,347082,S,543.0,31.275,11.0
1,2,male,1,0,2908,S,544.0,26.0,32.0
1,2,female,1,0,2908,S,547.0,26.0,19.0
1,2,male,0,0,SC/PARIS 2146,C,548.0,13.8625,29.69911764705882
0,3,male,1,1,363291,S,549.0,20.525,33.0
1,2,male,1,1,C.A. 33112,S,550.0,36.75,8.0
0,2,male,0,0,244358,S,552.0,26.0,27.0
0,3,male,0,0,330979,Q,553.0,7.8292,29.69911764705882
1,3,male,0,0,2620,C,554.0,7.225,22.0
1,3,female,0,0,347085,S,555.0,7.775,22.0
1,1,female,1,0,11755,C,557.0,39.6,48.0
1,3,female,1,0,345572,S,560.0,17.4,36.0
0,3,male,0,0,372622,Q,561.0,7.75,29.69911764705882
0,3,male,0,0,349251,S,562.0,7.8958,40.0
0,2,male,0,0,218629,S,563.0,13.5,28.0
0,3,male,0,0,SOTON/OQ 392082,S,564.0,8.05,29.69911764705882
0,3,female,0,0,SOTON/O.Q. 392087,S,565.0,8.05,29.69911764705882
0,3,male,2,0,A/4 48871,S,566.0,24.15,24.0
0,3,male,0,0,349205,S,567.0,7.8958,19.0
0,3,female,0,4,349909,S,568.0,21.075,29.0
0,3,male,0,0,2686,C,569.0,7.2292,29.69911764705882
1,3,male,0,0,350417,S,570.0,7.8542,32.0
1,1,male,0,0,PC 17474,S,573.0,26.3875,36.0
1,3,female,0,0,14312,Q,574.0,7.75,29.69911764705882
0,3,male,0,0,A/4. 20589,S,575.0,8.05,16.0
0,3,male,0,0,358585,S,576.0,14.5,19.0
1,2,female,0,0,243880,S,577.0,13.0,34.0
1,1,female,1,0,13507,S,578.0,55.9,39.0
0,3,female,1,0,2689,C,579.0,14.4583,29.69911764705882
1,3,male,0,0,STON/O 2. 3101286,S,580.0,7.925,32.0
1,2,female,1,1,237789,S,581.0,30.0,25.0
0,1,male,0,0,13049,C,584.0,40.125,36.0
0,3,male,0,0,3411,C,585.0,8.7125,29.69911764705882
0,2,male,0,0,237565,S,587.0,15.0,47.0
0,3,male,0,0,14973,S,589.0,8.05,22.0
0,3,male,0,0,A./5. 3235,S,590.0,8.05,29.69911764705882
0,3,male,0,0,STON/O 2. 3101273,S,591.0,7.125,35.0
0,3,male,0,0,A/5 3902,S,593.0,7.25,47.0
0,3,female,0,2,364848,Q,594.0,7.75,29.69911764705882
0,2,male,1,0,SC/AH 29037,S,595.0,26.0,37.0
0,3,male,1,1,345773,S,596.0,24.15,36.0
1,2,female,0,0,248727,S,597.0,33.0,29.69911764705882
0,3,male,0,0,LINE,S,598.0,0.0,49.0
0,3,male,0,0,2664,C,599.0,7.225,29.69911764705882
1,1,male,1,0,PC 17485,C,600.0,56.9292,49.0
