Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Cabin,Embarked
1,3,female,33.0,3,0,3101278,,S
0,3,male,16.0,1,3,W./C. 6608,,S
0,3,male,,0,0,SOTON/OQ 392086,,S
1,1,female,23.0,3,2,19950,C23 C25 C27,S
0,3,male,24.0,0,0,343275,,S
0,3,male,29.0,0,0,343276,,S
0,3,male,20.0,0,0,347466,,S
0,1,male,46.0,1,0,W.E.P. 5734,E31,S
0,3,male,26.0,1,2,C.A. 2315,,S
0,3,male,59.0,0,0,364500,,S
0,3,male,,0,0,374910,,S
0,1,male,71.0,0,0,PC 17754,A5,C
1,1,male,23.0,0,1,PC 17759,D10 D12,C
1,2,female,34.0,0,1,231919,,S
0,2,male,34.0,1,0,244367,,S
0,3,female,28.0,0,0,349245,,S
0,3,male,,0,0,349215,,S
0,1,male,21.0,0,1,35281,D26,S
0,3,male,33.0,0,0,7540,,S
0,3,male,37.0,2,0,3101276,,S
0,3,male,28.0,0,0,349207,,S
1,3,female,21.0,0,0,343120,,S
1,3,male,,0,0,312991,,S
0,3,male,38.0,0,0,349249,,S
1,3,female,,1,0,371110,,Q
0,1,male,47.0,0,0,110465,C110,S
0,3,female,14.5,1,0,2665,,C
0,3,male,22.0,0,0,324669,,S
0,3,female,20.0,1,0,4136,,S
0,3,female,17.0,0,0,2627,,C
0,3,male,21.0,0,0,STON/O 2. 3101294,,S
0,3,male,70.5,0,0,370369,,Q
0,2,male,29.0,1,0,11668,,S
0,1,male,24.0,0,1,PC 17558,B58 B60,C
0,3,female,2.0,4,2,347082,,S
0,2,male,21.0,2,0,S.O.C. 14879,,S
0,3,male,,0,0,A4. 54510,,S
0,2,male,32.5,1,0,237736,,C
1,2,female,32.5,0,0,27267,E101,S
0,1,male,54.0,0,1,35281,D26,S
1,3,male,12.0,1,0,2651,,C
0,3,male,,0,0,370372,,Q
1,3,male,24.0,0,0,C 17369,,S
1,3,female,,1,1,2668,F E69,C
0,3,male,45.0,0,0,347061,,S
0,3,male,33.0,0,0,349241,,C
0,3,male,20.0,0,0,SOTON/O.Q. 3101307,,S
0,3,female,47.0,1,0,A/5. 3337,,S
1,2,female,29.0,1,0,228414,,S
0,2,male,25.0,0,0,C.A. 29178,,S
0,2,male,23.0,0,0,SC/PARIS 2133,,C
1,1,female,19.0,0,2,11752,D47,S
0,1,male,37.0,1,0,113803,C123,S
0,3,male,16.0,0,0,7534,,S
0,1,male,24.0,0,0,PC 17593,B86,C
0,3,female,,0,2,2678,,C
1,3,female,22.0,0,0,347081,,S
1,3,female,24.0,1,0,STON/O2. 3101279,,S
0,3,male,19.0,0,0,365222,,Q
0,2,male,18.0,0,0,231945,,S
0,2,male,19.0,1,1,C.A. 33112,,S
1,3,male,27.0,0,0,350043,,S
0,3,female,9.0,2,2,W./C. 6608,,S
0,2,male,36.5,0,2,230080,F2,S
0,2,male,42.0,0,0,244310,,S
0,2,male,51.0,0,0,S.O.P. 1166,,S
1,1,female,22.0,1,0,113776,C2,S
0,3,male,55.5,0,0,A.5. 11206,,S
0,3,male,40.5,0,2,A/5. 851,,S
0,3,male,,0,0,Fa 265302,,S
0,1,male,51.0,0,1,PC 17597,,C
1,3,female,16.0,0,0,35851,,Q
0,3,male,30.0,0,0,SOTON/OQ 392090,,S
0,3,male,,0,0,315037,,S
0,3,male,,8,2,CA. 2343,,S
0,3,male,44.0,0,1,371362,,S
1,2,female,40.0,0,0,C.A. 33595,,S
0,3,male,26.0,0,0,347068,,S
0,3,male,17.0,0,0,315093,,S
0,3,male,1.0,4,1,3101295,,S
1,3,male,9.0,0,2,363291,,S
1,1,female,,0,1,113505,E33,S
0,3,female,45.0,1,4,347088,,S
0,1,male,,0,0,PC 17318,,S
0,3,male,28.0,0,0,1601,,S
0,1,male,61.0,0,0,111240,B19,S
0,3,male,4.0,4,1,382652,,Q
1,3,female,1.0,1,1,347742,,S
0,3,male,21.0,0,0,STON/O 2. 3101280,,S
0,1,male,56.0,0,0,17764,A7,C
0,3,male,18.0,1,1,350404,,S
0,3,male,,3,1,4133,,S
0,1,female,50.0,0,0,PC 17595,C49,C
0,2,male,30.0,0,0,250653,,S
0,3,male,36.0,0,0,LINE,,S
0,3,female,,8,2,CA. 2343,,S
0,2,male,,0,0,SC/PARIS 2131,,C
0,3,male,9.0,4,2,347077,,S
1,2,male,1.0,2,1,230136,F4,S
1,3,female,4.0,0,2,315153,,S
0,1,male,,0,0,113767,A32,S
1,3,female,,1,0,370365,,Q
1,1,male,45.0,0,0,111428,,S
0,3,male,40.0,1,1,364849,,Q
0,3,male,36.0,0,0,349247,,S
1,2,female,32.0,0,0,234604,,S
0,2,male,19.0,0,0,28424,,S
1,3,female,19.0,1,0,350046,,S
1,2,male,3.0,1,1,230080,F2,S
1,1,female,44.0,0,0,PC 17610,B4,C
1,1,female,58.0,0,0,PC 17569,B80,C
0,3,male,,0,0,368703,,Q
0,3,male,42.0,0,1,4579,,S
1,3,female,,0,0,370370,,Q
0,2,female,24.0,0,0,248747,,S
0,3,male,28.0,0,0,345770,,S
0,3,male,,8,2,CA. 2343,,S
0,3,male,34.0,0,0,3101264,,S
0,3,male,45.5,0,0,2628,,C
1,3,male,18.0,0,0,A/5 3540,,S
0,3,female,2.0,0,1,347054,G6,S
0,3,male,32.0,1,0,3101278,,S
1,3,male,26.0,0,0,2699,,C
1,3,female,16.0,0,0,367231,,Q
1,1,male,40.0,0,0,112277,A31,C
0,3,male,24.0,0,0,SOTON/O.Q. 3101311,,S
1,2,female,35.0,0,0,F.C.C. 13528,,S
0,3,male,22.0,0,0,A/5 21174,,S
0,2,male,30.0,0,0,250646,,S
0,3,male,,1,0,367229,,Q
1,1,female,31.0,1,0,35273,D36,C
1,3,female,27.0,0,0,STON/O2. 3101283,,S
0,2,male,42.0,1,0,243847,,S
1,1,female,32.0,0,0,11813,D15,C
0,2,male,30.0,0,0,W/C 14208,,S
1,3,male,16.0,0,0,SOTON/OQ 392089,,S
0,2,male,27.0,0,0,220367,,S
0,3,male,51.0,0,0,21440,,S
0,3,male,,0,0,349234,,S
1,1,male,38.0,1,0,19943,C93,S
0,3,male,22.0,0,0,PP 4348,,S
1,2,male,19.0,0,0,SW/PP 751,,S
0,3,male,20.5,0,0,A/5 21173,,S
0,2,male,18.0,0,0,236171,,S
0,3,female,,3,1,4133,,S
1,1,female,35.0,1,0,36973,C83,S
0,3,male,29.0,0,0,347067,,S
0,2,male,59.0,0,0,237442,,S
1,3,female,5.0,4,2,347077,,S
0,2,male,24.0,0,0,C.A. 29566,,S
0,3,female,,0,0,W./C. 6609,,S
0,2,male,44.0,1,0,26707,,S
1,2,female,8.0,0,2,C.A. 31921,,S
0,2,male,19.0,0,0,28665,,S
0,2,male,33.0,0,0,SCO/W 1585,,S
0,3,female,,1,0,2665,,C
1,3,female,,1,0,367230,,Q
0,2,male,29.0,0,0,W./C. 14263,,S
0,3,male,22.0,0,0,STON/O 2. 3101275,,S
0,3,male,30.0,0,0,2694,,C
0,1,male,44.0,2,0,19928,C78,Q
0,3,female,25.0,0,0,347071,,S
1,2,female,24.0,0,2,250649,,S
1,1,male,37.0,1,1,11751,D35,S
0,2,male,54.0,1,0,244252,,S
0,3,male,,0,0,362316,,S
0,3,female,29.0,1,1,347054,G6,S
0,1,male,62.0,0,0,113514,C87,S
0,3,male,30.0,1,0,A/5. 3336,,S
0,3,female,41.0,0,2,370129,,S
1,3,female,29.0,0,2,2650,,C
1,1,female,,0,0,PC 17585,,C
1,1,female,30.0,0,0,110152,B77,S
1,1,female,35.0,0,0,PC 17755,,C
1,2,female,50.0,0,1,230433,,S
0,3,male,,0,0,384461,,Q
1,3,male,3.0,4,2,347077,,S
0,1,male,52.0,1,1,110413,E67,S
0,1,male,40.0,0,0,112059,B94,S
0,3,female,,0,0,382649,,Q
0,2,male,36.0,0,0,C.A. 17248,,S
0,3,male,16.0,4,1,3101295,,S
1,3,male,25.0,1,0,347083,,S
1,1,female,58.0,0,1,PC 17582,C125,S
1,1,female,35.0,0,0,PC 17760,C99,S
0,1,male,,0,0,113798,,S
1,3,male,25.0,0,0,LINE,,S
1,2,female,41.0,0,1,250644,,S
0,1,male,37.0,0,1,PC 17596,C118,C
1,3,female,,0,0,370375,,Q
1,1,female,63.0,1,0,13502,D7,S
0,3,female,45.0,0,0,347073,,S
0,2,male,,0,0,239853,,S
0,3,male,7.0,4,1,382652,,Q
1,3,female,35.0,1,1,C.A. 2673,,S
0,3,male,65.0,0,0,336439,,Q
0,3,male,28.0,0,0,347464,,S
0,3,male,16.0,0,0,345778,,S
1,3,male,19.0,0,0,A/5. 10482,,S
0,1,male,,0,0,113056,A19,S
0,3,male,33.0,0,0,349239,,C
1,3,male,30.0,0,0,345774,,S
0,3,male,22.0,0,0,349206,,S
1,2,male,42.0,0,0,237798,,S
1,3,female,22.0,0,0,370373,,Q
1,1,female,26.0,0,0,19877,,S
1,1,female,19.0,1,0,11967,B49,C
0,2,male,36.0,0,0,SC/Paris 2163,D,C
0,3,female,24.0,0,0,349236,,S
0,3,male,24.0,0,0,349233,,S
0,1,male,,0,0,PC 17612,,C
0,3,male,23.5,0,0,2693,,C
0,1,female,2.0,1,2,113781,C22 C26,S
1,1,male,,0,0,19988,C106,S
1,1,female,50.0,0,1,PC 17558,B58 B60,C
1,3,female,,0,0,9234,,Q
1,3,male,,2,0,367226,,Q
0,3,male,19.0,0,0,LINE,,S
1,2,female,,0,0,226593,E101,Q
0,3,male,,0,0,A/5 2466,,S
1,1,male,0.92,1,2,113781,C22 C26,S
1,1,female,,0,0,17421,,C
1,1,female,17.0,1,0,PC 17758,C65,C
0,2,male,30.0,1,0,P/PP 3381,,C
1,1,female,30.0,0,0,PC 17485,E36,C
1,1,female,24.0,0,0,11767,C54,C
1,1,female,18.0,2,2,PC 17608,B57 B59 B63 B66,C
0,2,female,26.0,1,1,250651,,S
0,3,male,28.0,0,0,349243,,S
0,2,male,43.0,1,1,F.C.C. 13529,,S
1,3,female,26.0,0,0,347470,,S
1,2,female,24.0,1,0,244367,,S
0,2,male,54.0,0,0,29011,,S
1,1,female,31.0,0,2,36928,C7,S
1,1,female,40.0,1,1,16966,E34,C
0,3,male,22.0,0,0,A/5 21172,,S
0,3,male,27.0,0,0,349219,,S
1,2,female,30.0,0,0,234818,,Q
1,2,female,22.0,1,1,248738,,S
0,3,male,,8,2,CA. 2343,,S
1,1,female,36.0,0,0,PC 17760,C32,C
0,3,male,61.0,0,0,345364,,S
1,2,female,36.0,0,0,28551,D,S
1,3,female,31.0,1,1,363291,,S
1,1,female,16.0,0,1,111361,B18,C
1,3,female,,2,0,367226,,Q
0,1,male,45.5,0,0,113043,C124,S
0,1,male,38.0,0,1,PC 17582,C91,S
0,3,male,16.0,2,0,345764,,S
1,1,female,,1,0,PC 17611,,S
0,3,male,,0,0,349225,,S
0,1,male,29.0,1,0,113776,C2,S
1,1,female,41.0,0,0,16966,E40,C
1,3,male,45.0,0,0,7598,,S
0,1,male,45.0,0,0,113784,T,S
1,2,male,2.0,1,1,230080,F2,S
1,1,female,24.0,3,2,19950,C23 C25 C27,S
0,2,male,28.0,0,0,248740,,S
0,2,male,25.0,0,0,244361,,S
0,2,male,36.0,0,0,229236,,S
1,2,female,24.0,0,0,248733,F33,S
1,2,female,40.0,0,0,31418,,S
1,3,female,,1,0,386525,,S
1,3,male,3.0,1,1,C.A. 37671,,S
0,3,male,42.0,0,0,315088,,S
0,3,male,23.0,0,0,7267,,S
0,1,male,,0,0,113510,C128,S
0,3,male,15.0,1,1,2695,,C
0,3,male,25.0,1,0,349237,,S
0,3,male,,0,0,2647,,C
0,3,male,28.0,0,0,345783,,S
1,1,female,22.0,0,1,113505,E33,S
0,2,female,38.0,0,0,237671,,S
1,3,female,,0,0,330931,,Q
1,3,female,,0,0,330980,,Q
0,3,male,40.0,1,4,347088,,S
0,2,male,29.0,1,0,SC/PARIS 2167,,C
0,3,female,45.0,0,1,2691,,C
0,3,male,35.0,0,0,SOTON/O.Q. 3101310,,S
0,3,male,,1,0,370365,,Q
0,3,male,30.0,0,0,C 7076,,S
1,1,female,60.0,1,0,110813,D37,C
1,3,female,,0,0,2626,,C
1,3,female,,0,0,14313,,Q
1,1,female,24.0,0,0,PC 17477,B35,C
1,1,male,25.0,1,0,11765,E50,C
0,3,male,18.0,1,0,3101267,,S
0,3,male,19.0,0,0,323951,,S
0,1,male,22.0,0,0,PC 17760,,C
0,3,female,3.0,3,1,349909,,S
1,1,female,,1,0,PC 17604,,C
1,3,female,22.0,0,0,C 7077,,S
0,1,male,27.0,0,2,113503,C82,C
0,3,male,20.0,0,0,2648,,C
0,3,male,19.0,0,0,347069,,S
1,1,female,42.0,0,0,PC 17757,,C
1,3,female,1.0,0,2,2653,,C
0,3,male,32.0,0,0,STON/O 2. 3101293,,S
1,1,female,35.0,1,0,113789,,S
0,3,male,,0,0,349227,,S
0,2,male,18.0,0,0,S.O.C. 14879,,S
0,3,male,1.0,5,2,CA 2144,,S
1,2,female,36.0,0,0,27849,,S
0,3,male,,0,0,367655,,Q
1,2,female,17.0,0,0,SC 1748,,C
1,1,male,36.0,1,2,113760,B96 B98,S
1,3,male,21.0,0,0,350034,,S
0,3,male,28.0,2,0,3101277,,S
1,1,female,23.0,1,0,35273,D36,C
1,3,female,24.0,0,2,PP 9549,G6,S
0,3,male,22.0,0,0,350052,,S
0,3,female,31.0,0,0,350407,,S
0,2,male,46.0,0,0,28403,,S
0,2,male,23.0,0,0,244278,,S
1,2,female,28.0,0,0,240929,,S
1,3,male,39.0,0,0,STON/O 2. 3101289,,S
0,3,male,26.0,0,0,341826,,S
0,3,female,21.0,1,0,4137,,S
0,3,male,28.0,1,0,STON/O2. 3101279,,S
0,3,female,20.0,0,0,315096,,S
0,2,male,34.0,1,0,28664,,S
0,3,male,51.0,0,0,347064,,S
1,2,male,3.0,1,1,29106,,S
0,3,male,21.0,0,0,312992,,S
0,3,female,,3,1,4133,,S
0,3,male,,0,0,349222,,S
0,3,male,,0,0,394140,,Q
1,1,female,33.0,1,0,19928,C78,Q
0,2,male,,0,0,239853,,S
1,3,male,44.0,0,0,STON/O 2. 3101269,,S
0,3,female,,0,0,343095,,S
1,2,female,34.0,1,1,28220,,S
1,2,female,18.0,0,2,250652,,S
0,2,male,30.0,0,0,28228,,S
0,3,female,10.0,0,2,345773,,S
0,3,male,,0,0,349254,,C
0,3,male,21.0,0,0,A/5. 13032,,Q
0,3,male,29.0,0,0,315082,,S
0,3,female,28.0,1,1,347080,,S
0,3,male,18.0,1,1,370129,,S
0,3,male,,0,0,A/4. 34244,,S
1,2,female,28.0,1,0,2003,,S
1,2,female,19.0,0,0,250655,,S
0,3,male,,0,0,364851,,Q
1,3,male,32.0,0,0,SOTON/O.Q. 392078,E10,S
1,1,male,28.0,0,0,110564,C52,S
1,3,female,,1,0,376564,,S
1,2,female,42.0,1,0,SC/AH 3085,,S
0,3,male,17.0,0,0,STON/O 2. 3101274,,S
0,1,male,50.0,1,0,13507,E44,S
1,1,female,14.0,1,2,113760,B96 B98,S
0,3,female,21.0,2,2,W./C. 6608,,S
1,2,female,24.0,2,3,29106,,S
0,1,male,64.0,1,4,19950,C23 C25 C27,S
0,2,male,31.0,0,0,C.A. 18723,,S
1,2,female,45.0,1,1,F.C.C. 13529,,S
0,3,male,20.0,0,0,345769,,S
0,3,male,25.0,1,0,347076,,S
1,2,female,28.0,0,0,230434,,S
1,3,male,,0,0,65306,,S
1,1,male,4.0,0,2,33638,A34,S
1,2,female,13.0,0,1,250644,,S
1,1,male,34.0,0,0,113794,,S
1,3,female,5.0,2,1,2666,,C
1,1,male,52.0,0,0,113786,C104,S
0,2,male,36.0,1,2,C.A. 34651,,S
0,3,male,,1,0,65303,,S
0,1,male,30.0,0,0,113051,C111,C
1,1,male,49.0,1,0,17453,C92,C
0,3,male,,0,0,A/5 2817,,S
1,3,male,29.0,0,0,349240,,C
0,1,male,65.0,0,0,13509,E38,S
1,1,female,,1,0,17464,D21,S
1,2,female,50.0,0,0,F.C.C. 13531,,S
0,3,male,,0,0,371060,,Q
1,1,male,48.0,0,0,19952,E12,S
0,3,male,34.0,0,0,364506,,S
0,1,male,47.0,0,0,111320,E63,S
0,2,male,48.0,0,0,234360,,S
0,3,male,,0,0,A/S 2816,,S
0,3,male,38.0,0,0,SOTON/O.Q. 3101306,,S
0,2,male,,0,0,239853,,S
0,1,male,56.0,0,0,113792,,S
0,3,male,,0,0,36209,,Q
1,3,female,0.75,2,1,2666,,C
0,3,male,,0,0,323592,,S
0,3,male,38.0,0,0,315089,,S
1,2,female,33.0,1,2,C.A. 34651,,S
1,2,female,23.0,0,0,SC/AH Basle 541,D,C
0,3,female,22.0,0,0,7553,,S
0,1,male,,0,0,110465,A14,S
0,2,male,34.0,1,0,31027,,S
0,3,male,29.0,1,0,3460,,S
0,3,male,22.0,0,0,350060,,S
1,3,female,2.0,0,1,3101298,,S
0,3,male,9.0,5,2,CA 2144,,S
0,2,male,,0,0,239854,,S
0,3,male,50.0,0,0,A/5 3594,,S
1,3,female,63.0,0,0,4134,,S
1,1,male,25.0,1,0,11967,B49,C
0,3,female,,3,1,4133,,S
1,1,female,35.0,1,0,19943,C93,S
0,1,male,58.0,0,0,11771,B37,C
0,3,male,30.0,0,0,A.5. 18509,,S
1,3,male,9.0,1,1,C.A. 37671,,S
0,3,male,,1,0,65304,,S
0,3,male,21.0,0,0,SOTON/OQ 3101317,,S
0,1,male,55.0,0,0,113787,C30,S
0,1,male,71.0,0,0,PC 17609,,C
0,3,male,21.0,0,0,A/4 45380,,S
0,3,male,,0,0,2627,,C
1,1,female,54.0,1,0,36947,D20,C
0,3,male,,0,0,C.A. 6212,,S
0,1,female,25.0,1,2,113781,C22 C26,S
0,3,male,24.0,0,0,350035,,S
0,3,male,17.0,0,0,315086,,S
0,3,female,21.0,0,0,364846,,Q
0,3,female,,0,0,330909,,Q
0,3,female,37.0,0,0,4135,,S
1,1,female,16.0,0,0,110152,B79,S
0,1,male,18.0,1,0,PC 17758,C65,C
1,2,female,33.0,0,2,26360,,S
1,1,male,,0,0,111427,,S
0,3,male,28.0,0,0,C 4001,,S
1,3,male,26.0,0,0,1601,,S
1,3,male,29.0,0,0,382651,,Q
0,3,male,,0,0,SOTON/OQ 3101316,,S
1,1,male,36.0,0,0,PC 17473,E25,S
1,1,female,54.0,1,0,PC 17603,,C
0,3,male,24.0,0,0,349209,,S
0,1,male,47.0,0,0,36967,D46,S
1,2,female,34.0,0,0,C.A. 34260,F33,S
0,3,male,,0,0,371110,,Q
1,2,female,36.0,1,0,226875,,S
0,3,male,32.0,0,0,349242,,S
1,1,female,30.0,0,0,12749,B73,S
0,3,male,22.0,0,0,349252,,S
0,3,male,,0,0,2624,,C
1,1,female,44.0,0,1,111361,B18,C
0,3,male,,0,0,2700,,C
0,3,male,40.5,0,0,367232,,Q
1,2,female,50.0,0,0,W./C. 14258,,S
0,1,male,,0,0,PC 17483,C95,S
0,3,male,39.0,0,0,3101296,,S
0,2,male,23.0,2,1,29104,,S
1,2,female,2.0,1,1,26360,,S
0,3,male,,0,0,2641,,C
0,3,male,17.0,1,1,2690,,C
1,3,female,,0,2,2668,,C
0,3,female,30.0,0,0,315084,,S
1,2,female,7.0,0,2,F.C.C. 13529,,S
0,1,male,45.0,0,0,113050,B38,S
1,1,female,30.0,0,0,PC 17761,,C
0,3,male,,0,0,364498,,S
1,1,female,22.0,0,2,13568,B39,C
1,1,female,36.0,0,2,WE/P 5735,B22,S
0,3,female,9.0,4,2,347082,,S
0,3,female,11.0,4,2,347082,,S
1,2,male,32.0,1,0,2908,,S
0,1,male,50.0,1,0,PC 17761,C86,C
0,1,male,64.0,0,0,693,,S
1,2,female,19.0,1,0,2908,,S
1,2,male,,0,0,SC/PARIS 2146,,C
0,3,male,33.0,1,1,363291,,S
1,2,male,8.0,1,1,C.A. 33112,,S
1,1,male,17.0,0,2,17421,C70,C
0,2,male,27.0,0,0,244358,,S
0,3,male,,0,0,330979,,Q
1,3,male,22.0,0,0,2620,,C
1,3,female,22.0,0,0,347085,,S
0,1,male,62.0,0,0,113807,,S
1,1,female,48.0,1,0,11755,A16,C
0,1,male,,0,0,PC 17757,,C
1,1,female,39.0,1,1,110413,E67,S
1,3,female,36.0,1,0,345572,,S
0,3,male,,0,0,372622,,Q
0,3,male,40.0,0,0,349251,,S
0,2,male,28.0,0,0,218629,,S
0,3,male,,0,0,SOTON/OQ 392082,,S
0,3,female,,0,0,SOTON/O.Q. 392087,,S
0,3,male,24.0,2,0,A/4 48871,,S
0,3,male,19.0,0,0,349205,,S
0,3,female,29.0,0,4,349909,,S
0,3,male,,0,0,2686,,C
1,3,male,32.0,0,0,350417,,S
1,2,male,62.0,0,0,S.W./PP 752,,S
1,1,female,53.0,2,0,11769,C101,S
1,1,male,36.0,0,0,PC 17474,E25,S
1,3,female,,0,0,14312,,Q
0,3,male,16.0,0,0,A/4. 20589,,S
0,3,male,19.0,0,0,358585,,S
1,2,female,34.0,0,0,243880,,S
1,1,female,39.0,1,0,13507,E44,S
0,3,female,,1,0,2689,,C
1,3,male,32.0,0,0,STON/O 2. 3101286,,S
1,2,female,25.0,1,1,237789,,S
1,1,female,39.0,1,1,17421,C68,C
0,2,male,54.0,0,0,28403,,S
0,1,male,36.0,0,0,13049,A10,C
0,3,male,,0,0,3411,,C
1,1,female,18.0,0,2,110413,E68,S
0,2,male,47.0,0,0,237565,,S
1,1,male,60.0,1,1,13567,B41,C
0,3,male,22.0,0,0,14973,,S
0,3,male,,0,0,A./5. 3235,,S
0,3,male,35.0,0,0,STON/O 2. 3101273,,S
1,1,female,52.0,1,0,36947,D20,C
0,3,male,47.0,0,0,A/5 3902,,S
0,3,female,,0,2,364848,,Q
0,2,male,37.0,1,0,SC/AH 29037,,S
0,3,male,36.0,1,1,345773,,S
1,2,female,,0,0,248727,,S
0,3,male,49.0,0,0,LINE,,S
0,3,male,,0,0,2664,,C
1,1,male,49.0,1,0,PC 17485,A20,C
1,2,female,24.0,2,1,243847,,S
0,3,male,,0,0,349214,,S
0,1,male,,0,0,113796,,S
0,3,male,44.0,0,0,364511,,S
1,1,male,35.0,0,0,111426,,C
0,3,male,36.0,1,0,349910,,S
0,3,male,30.0,0,0,349246,,S
1,1,male,27.0,0,0,113804,,S
1,2,female,22.0,1,2,SC/Paris 2123,,C
1,1,female,40.0,0,0,PC 17582,C125,S
0,3,female,39.0,1,5,347082,,S
0,3,male,,0,0,SOTON/O.Q. 3101305,,S
1,3,female,,1,0,367230,,Q
0,3,male,,0,0,370377,,Q
0,3,male,35.0,0,0,364512,,S
1,2,female,24.0,1,2,220845,,S
0,3,male,34.0,1,1,347080,,S
0,3,female,26.0,1,0,A/5. 3336,,S
1,2,female,4.0,2,1,230136,F4,S
0,2,male,26.0,0,0,31028,,S
0,3,male,27.0,1,0,2659,,C
1,1,male,42.0,1,0,11753,D19,S
1,3,male,20.0,1,1,2653,,C
0,3,male,21.0,0,0,350029,,S
0,3,male,21.0,0,0,54636,,S
0,1,male,61.0,0,0,36963,D50,S
0,2,male,57.0,0,0,219533,,Q
1,1,female,21.0,0,0,13502,D9,S
0,3,male,26.0,0,0,349224,,S
0,3,male,,0,0,334912,,Q
1,1,male,80.0,0,0,27042,A23,S
0,3,male,51.0,0,0,347743,,S
1,1,male,32.0,0,0,13214,B50,C
0,1,male,,0,0,112052,,S
0,3,female,9.0,3,2,347088,,S
1,2,female,28.0,0,0,237668,,S
0,3,male,32.0,0,0,STON/O 2. 3101292,,S
0,2,male,31.0,1,1,C.A. 31921,,S
0,3,female,41.0,0,5,3101295,,S
0,3,male,,1,0,376564,,S
0,3,male,20.0,0,0,350050,,S
1,1,female,24.0,0,0,PC 17477,B35,C
0,3,female,2.0,3,2,347088,,S
1,3,male,,0,0,1601,,S
1,3,female,0.75,2,1,2666,,C
1,1,male,48.0,1,0,PC 17572,D33,C
0,3,male,19.0,0,0,349231,,S
1,1,male,56.0,0,0,13213,A26,C
0,3,male,,0,0,S.O./P.P. 751,,S
