Survived,Pclass,Sex,Parch,Ticket,Age
0,2,1,0,483,32.0
0,2,1,0,291,24.0
0,2,1,0,384,48.0
0,2,1,0,183,29.69911764705882
1,1,0,3,217,54.0
0,2,1,0,307,18.0
0,2,1,0,455,29.69911764705882
1,2,0,0,408,5.0
0,2,1,0,426,29.69911764705882
1,0,0,1,125,43.0
1,2,0,0,190,13.0
1,0,0,0,76,17.0
0,0,1,0,24,29.0
0,2,1,2,641,29.69911764705882
0,2,1,0,609,25.0
0,2,1,0,448,25.0
1,2,0,0,224,18.0
0,2,1,1,454,8.0
0,0,1,0,561,46.0
0,2,1,0,56,29.69911764705882
0,1,1,0,123,16.0
0,2,0,2,537,29.69911764705882
0,0,1,0,566,29.69911764705882
0,2,1,0,327,25.0
0,1,1,0,204,39.0
1,0,0,0,74,49.0
1,2,0,0,360,31.0
0,2,1,0,188,30.0
0,2,0,1,285,30.0
0,1,1,0,147,34.0
1,1,0,1,525,31.0
1,0,1,2,29,11.0
1,2,1,0,315,27.0
0,2,1,0,297,31.0
0,0,1,0,10,39.0
0,2,0,0,313,18.0
0,1,1,0,137,39.0
1,0,0,0,43,33.0
0,2,1,0,316,26.0
0,2,1,0,490,39.0
0,1,1,0,203,35.0
0,2,0,2,310,6.0
0,2,1,0,404,30.5
0,0,1,0,13,29.69911764705882
0,2,0,0,637,23.0
0,1,1,1,585,31.0
0,2,1,0,514,43.0
0,2,1,2,314,10.0
1,0,0,1,57,52.0
1,2,1,0,249,27.0
0,0,1,0,83,38.0
1,2,0,1,460,27.0
0,2,1,0,424,29.69911764705882
0,2,1,0,67,29.69911764705882
1,2,1,0,418,29.69911764705882
1,2,0,0,170,15.0
0,2,1,0,181,29.69911764705882
0,2,1,0,319,23.0
0,2,1,0,92,18.0
1,0,0,1,576,39.0
0,2,1,0,248,21.0
0,2,1,0,459,29.69911764705882
1,2,1,0,67,32.0
1,0,1,0,52,29.69911764705882
0,2,1,0,613,20.0
0,1,1,0,586,16.0
1,0,0,0,40,30.0
0,2,1,0,187,34.5
0,2,1,0,244,17.0
0,2,1,0,532,42.0
0,2,1,2,537,29.69911764705882
0,2,1,0,336,35.0
0,1,1,1,138,28.0
1,0,0,0,71,29.69911764705882
0,2,1,2,310,4.0
0,2,0,1,185,9.0
1,0,0,1,560,16.0
0,1,0,0,128,44.0
1,2,0,1,458,18.0
1,0,0,1,429,45.0
1,0,1,0,21,51.0
1,2,0,3,176,24.0
0,2,1,0,160,29.69911764705882
0,2,1,0,376,41.0
0,1,1,0,202,21.0
1,0,0,0,75,48.0
0,2,0,2,537,29.69911764705882
0,1,1,0,105,24.0
1,1,0,0,111,42.0
1,1,0,0,598,27.0
0,0,1,0,559,31.0
0,2,1,0,287,29.69911764705882
1,2,1,1,321,4.0
0,2,1,0,364,26.0
1,0,0,1,45,47.0
0,0,1,0,474,33.0
0,2,1,0,281,47.0
1,1,0,0,544,28.0
1,2,0,0,177,15.0
0,2,1,0,476,20.0
0,2,1,0,335,19.0
0,2,1,0,340,29.69911764705882
1,1,0,1,100,25.0
0,2,1,0,371,33.0
0,2,0,0,480,22.0
0,1,1,0,534,28.0
0,2,1,0,616,25.0
0,2,0,5,454,39.0
0,1,1,0,87,27.0
1,0,0,0,12,19.0
0,2,0,2,641,29.69911764705882
1,0,1,0,6,26.0
0,2,1,0,440,32.0
